Rank,Name,Points
793,lionssuck,"16,159"
794,Piston2x,"16,084"
795,AceKing719,"16,082"
796,beermakersfan,"16,017"
797,Thunderfats,"15,978"
798,NPitz14,"15,971"
799,jpiening,"15,954"
800,JaserD,"15,909"
801,voodoopulling,"15,894"
802,Baca81,"15,875"
803,leodaly1986,"15,872"
804,ohbhaive,"15,854"
805,Tyler245,"15,849"
806,fantasystuds,"15,841"
807,smoke22,"15,811"
808,CodeBandit,"15,799"
809,Lee1005,"15,781"
810,Scott121422,"15,758"
811,Czervik67,"15,738"
812,DoctorRoBry,"15,735"
813,SloungerWB,"15,671"
814,Daveterp55,"15,634"
815,baggageclaim,"15,627"
816,RAISEFOOOL,"15,603"
817,acekilla7676,"15,585"
818,dodger50,"15,584"
819,tommy12hill,"15,568"
820,Mjax200,"15,551"
821,killab2482,"15,546"
822,BIGBRIXEY,"15,544"
823,deerosa,"15,524"
824,ajmorstad,"15,523"
825,patmygilkey,"15,489"
826,warrior133,"15,466"
827,runtelldat,"15,461"
828,icowpres,"15,445"
829,dexter777,"15,445"
830,Jackfarmer,"15,431"
831,Rbarrett,"15,409"
832,doomsday70,"15,394"
833,adhall09,"15,366"
834,Russthabus26,"15,338"
835,nehat312,"15,336"
836,D4RTHPH4D4R,"15,334"
837,cashmmillion,"15,332"
838,SundayFunday,"15,317"
839,kckoch20,"15,315"
840,TwineTickler,"15,305"
841,Razzle11,"15,254"
842,treydru21,"15,253"
843,zoom_zoom,"15,237"
844,Duhawks93,"15,232"
845,rcub,"15,230"
846,phills41,"15,209"
847,dsawyer,"15,206"
848,nineman,"15,202"
849,phwill,"15,201"
850,jax2013,"15,180"
851,jbutlero5,"15,150"
852,cloudllc,"15,133"
853,greatwhitehope,"15,116"
854,connoiiy,"15,106"
855,qtran916,"15,087"
856,Varncass,"15,026"
857,Amarengo,"14,961"
858,ccmathes,"14,924"
859,shadygr8,"14,919"
860,Thrasher898,"14,917"
861,PigskinaBlanket,"14,908"
862,ffbwizard,"14,895"
863,dbpittsburgh,"14,888"
864,heels123,"14,882"
865,younggun,"14,882"
866,sforzja10,"14,819"
867,tmhsport,"14,819"
868,Vegasken,"14,799"
869,whatsthespread,"14,798"
870,Jglad11,"14,793"
871,Krnich,"14,785"
872,addiebelasco,"14,768"
873,mdolciato,"14,695"
874,jaywalker72,"14,694"
875,bwolfgramm,"14,677"
876,louiescards,"14,644"
877,longjohn91,"14,641"
